MovieID,Title,Genres,year
1,Toy Story,Animation,1995
1,Toy Story,Children's,1995
1,Toy Story,Comedy,1995
2,Jumanji,Adventure,1995
2,Jumanji,Children's,1995
2,Jumanji,Fantasy,1995
3,Grumpier Old Men,Comedy,1995
3,Grumpier Old Men,Romance,1995
4,Waiting to Exhale,Comedy,1995
4,Waiting to Exhale,Drama,1995
5,Father of the Bride Part II,Comedy,1995
6,Heat,Action,1995
6,Heat,Crime,1995
6,Heat,Thriller,1995
7,Sabrin,Comedy,1995
7,Sabrin,Romance,1995
8,Tom and Huck,Adventure,1995
8,Tom and Huck,Children's,1995
9,Sudden Death,Action,1995
10,GoldenEye,Action,1995
10,GoldenEye,Adventure,1995
10,GoldenEye,Thriller,1995
11,American President,Comedy,1995
11,American President,Drama,1995
11,American President,Romance,1995
12,Dracula: Dead and Loving It,Comedy,1995
12,Dracula: Dead and Loving It,Horror,1995
13,Balto,Animation,1995
13,Balto,Children's,1995
14,Nixon,Drama,1995
15,Cutthroat Island,Action,1995
15,Cutthroat Island,Adventure,1995
15,Cutthroat Island,Romance,1995
16,Casino,Drama,not_def
16,Casino,Thriller,not_def
17,Sense and Sensibility,Drama,1995
17,Sense and Sensibility,Romance,1995
18,Four Rooms,Thriller,1995
19,Ace Ventura: When Nature Calls,Comedy,1995
20,Money Train,Action,1995
21,Get Shorty,Action,1995
21,Get Shorty,Comedy,1995
21,Get Shorty,Drama,1995
22,Copycat,Crime,1995
22,Copycat,Drama,1995
22,Copycat,Thriller,1995
23,Assassins,Thriller,1995
24,Powder,Drama,1995
24,Powder,Sci-Fi,1995
25,Leaving Las Vegas,Drama,1995
25,Leaving Las Vegas,Romance,1995
26,Othello,Drama,1995
27,Now and Then,Drama,1995
28,Persuasion,Romance,1995
29,City of Lost Children,Adventure,1995
29,City of Lost Children,Sci-Fi,1995
30,Shanghai Triad,Drama,Yao a yao yao dao waipo qiao) (1995
31,Dangerous Minds,Drama,1995
32,Twelve Monkeys,Drama,1995
32,Twelve Monkeys,Sci-Fi,1995
33,Wings of Courage,Adventure,1995
33,Wings of Courage,Romance,1995
34,Babe,Children's,1995
34,Babe,Comedy,1995
34,Babe,Drama,1995
35,Carrington,Drama,1995
35,Carrington,Romance,1995
36,Dead Man Walking,Drama,1995
37,Across the Sea of Time,Documentary,1995
38,It Takes Two,Comedy,1995
39,Clueless,Comedy,1995
39,Clueless,Romance,1995
40,"Cry, the Beloved Country",Drama,1995
41,Richard III,Drama,1995
41,Richard III,War,1995
42,Dead Presidents,Action,1995
42,Dead Presidents,Crime,1995
42,Dead Presidents,Drama,1995
43,Restoration,Drama,1995
44,Mortal Kombat,Action,1995
44,Mortal Kombat,Adventure,1995
45,To Die For,Comedy,1995
45,To Die For,Drama,1995
46,How to Make an American Quilt,Drama,1995
46,How to Make an American Quilt,Romance,1995
47,Seven,Crime,Se7en) (1995
47,Seven,Thriller,Se7en) (1995
48,Pocahontas,Animation,1995
48,Pocahontas,Children's,1995
48,Pocahontas,Musical,1995
48,Pocahontas,Romance,1995
49,When Night Is Falling,Drama,1995
49,When Night Is Falling,Romance,1995
50,Usual Suspects,Crime,1995
50,Usual Suspects,Thriller,1995
51,Guardian Ang,Action,1994
51,Guardian Ang,Drama,1994
51,Guardian Ang,Thriller,1994
52,Mighty Aphrodite,Comedy,1995
53,Lameric,Drama,1994
54,Big Green,Children's,1995
54,Big Green,Comedy,1995
55,Georgi,Drama,1995
56,Kids of the Round Table,Adventure,1995
56,Kids of the Round Table,Children's,1995
56,Kids of the Round Table,Fantasy,1995
57,Home for the Holidays,Drama,1995
58,Postino,Drama,The Postman) (1994
58,Postino,Romance,The Postman) (1994
59,Confessional,Drama,Le Confessionnal) (1995
59,Confessional,Mystery,Le Confessionnal) (1995
60,Indian in the Cupboard,Adventure,1995
60,Indian in the Cupboard,Children's,1995
60,Indian in the Cupboard,Fantasy,1995
61,Eye for an Eye,Drama,1996
61,Eye for an Eye,Thriller,1996
62,Mr. Holland's Opus,Drama,1995
